,Data_accident,Hora_Avis,Via,Data_publicacio,Hora_publicacio,Text_Complet,URL
0," Dimecres, 31 de desembre de 2014", 02.40 ," C-53, al punt quilomètric 127 a la Fuliola (Urgell)",31/12/2014,12:35,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dimecres, 31 de desembre de 2014</strong></p>
<p style=""text-align: left;""><strong>HORA D'AVÍS: 02.40 h</strong></p>
<p style=""text-align: left;""><strong>VIA: C-53, al punt quilomètric 127 a la Fuliola (Urgell)</strong></p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que aquesta matinada s’ha registrat un accident mortal de trànsit al punt quilomètric 127 de la C-53 a l’altura de les La Fuliola (L’Urgell, Lleida). Els Mossos d’Esquadra han rebut l’avís del sinistre a les 02.40 h.</p>
<p style=""text-align: left;"">Per causes que encara s’estan investigant, un vehicle logotipat dels Mossos d’Esquadra que estava fent un punt estàtic de control prop d’una benzinera ha estat envestit per causes desconegudes per un altre turisme. El vehicle policial ha quedat bolcat lateralment per l’envestida i els dos agents han quedat atrapats hi han hagut de ser excarcerats pels Bombers de la Generalitat. El Sistema d’Emergències Mèdiques ha evacuat en estat crític a un dels agents a la Vall d’Hebron i a l’altra agent amb caràcter greu a l’hospital Arnau de Vilanova. Finalment, hores més tard s’ha comunicat la mort de l’agent evacuat a la Vall d’Hebron. Pel que fa a l’altre conductor també ha resultat ferit greu i també ha estat traslladat a l’Arnau.</p>
<p style=""text-align: left;"">En la incidència han treballat 9 patrulles dels Mossos d’Esquadra, 2 efectius dels Bombers de la Generalitat i 3 ambulàncies del Sistema d’Emergències Mèdiques.</p>
<p style=""text-align: left;"">31 de desembre</p>
<p style=""text-align: left;"">09.25 h</p>
<p> </p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20141231_acc_c53
1," Divendres, 26 de desembre de 2014", 08.58 ," C-17z, al punt quilomètric 73,3 a les Masies de Voltregà (Osona)",26/12/2014,08:58,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Divendres, 26 de desembre de 2014</strong></p>
<p style=""text-align: left;""><strong>HORA D'AVÍS: 08.58 h</strong></p>
<p style=""text-align: left;""><strong>VIA: C-17z, al punt quilomètric 73,3 a les Masies de Voltregà (Osona)</strong></p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que aquest matí s’ha registrat un accident mortal de trànsit al punt quilomètric 73,3 de la C-17z a l’altura de les Masies de Voltregà (Osona). Els Mossos d’Esquadra han rebut l’avís del sinistre a les 08.58 h.</p>
<p style=""text-align: left;"">Per causes que encara s’estan investigant, un turisme ha sortit de la via i ha caigut per un pont a la riera de Talamanca. Com a conseqüència de l'accident ha mort el conductor i únic ocupant del vehicle sinistrat, Jordi E. V., de 37 anys d'edat i veí de les Masies de Voltregà.</p>
<p style=""text-align: left;"">En la incidència han treballat quatre patrulles dels Mossos d’Esquadra, efectius dels Bombers de la Generalitat i dues ambulàncies del Sistema d’Emergències Mèdiques.</p>
<p style=""text-align: left;"">26 de desembre</p>
<p style=""text-align: left;"">13.40 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20141226_acc_c_17z
2," Dijous, 25 de desembre de 2014", 04.03 ," C-32 sud, al punt quilomètric 25 a Sant Pere de Ribes (Garraf)",25/12/2014,04:03,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dijous, 25 de desembre de 2014</strong></p>
<p style=""text-align: left;""><strong>HORA D'AVÍS: 04.03 h</strong></p>
<p style=""text-align: left;""><strong>VIA: C-32 sud, al punt quilomètric 25 a Sant Pere de Ribes (Garraf)</strong></p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que aquesta matinada s’ha registrat un accident mortal de trànsit al punt quilomètric 25 de la C-32 sud a l’altura de Sant Pere de Ribes (Garraf) en sentit sud. Els Mossos d’Esquadra han rebut l’avís de l’accident a les 04.03 h.</p>
<p style=""text-align: left;"">Per causes que encara s’estan investigant, els dos ocupants d'un turisme aturat al voral de l'autopista han sortit de l'automòbil i un altre vehicle que circulava per la via n'ha atropellat un mortalment. La persona finada ha estat Rosa Maria P. P., de 47 anys d’edat i veïna de Calafell. En el sinistre també hi ha hagut un ferit de gravetat que ha estat traslladat a l’hospital Sant Camil.</p>
<p style=""text-align: left;"">En la incidència han treballat set patrulles dels Mossos d’Esquadra i efectius del Sistema d’Emergències Mèdiques.Com a conseqüència de la incidència s’ha hagut de restringir  l’autopista en sentit sud.</p>
<p style=""text-align: left;"">25 de desembre</p>
<p style=""text-align: left;"">11.00 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20141225_acc_C_32
